dwg	application/acad
mid	audio/x-mid
midi	audio/x-mid
mid	audio/x-midi
midi	audio/x-midi
mod	audio/x-mod
mp2	audio/x-mpeg
mp3	audio/x-mpeg-3
m3u	audio/x-mpequrl
la	audio/x-nspaudio
lma	audio/x-nspaudio
ram	audio/x-pn-realaudio
ra	audio/x-pn-realaudio
rm	audio/x-pn-realaudio
rmm	audio/x-pn-realaudio
rmp	audio/x-pn-realaudio
ra	audio/x-pn-realaudio-plugin
rmp	audio/x-pn-realaudio-plugin
rpm	audio/x-pn-realaudio-plugin
sid	audio/x-psid
ra	audio/x-realaudio
vqf	audio/x-twinvq
vqe	audio/x-twinvq-plugin
vql	audio/x-twinvq-plugin
mjf	audio/x-vnd.audioexplosion.mjuicemediafile
voc	audio/x-voc
wav	audio/x-wav
xm	audio/xm
pdb	chemical/x-pdb
xyz	chemical/x-pdb
dwf	drawing/x-dwf
ivr	i-world/i-vrml
bmp	image/bmp
bm	image/bmp
ras	image/cmu-raster
rast	image/cmu-raster
fif	image/fif
flo	image/florian
turbot	image/florian
g3	image/g3fax
gif	image/gif
ief	image/ief
iefs	image/ief
jpg	image/jpeg
jfif	image/jpeg
jfif-tbnl	image/jpeg
jpe	image/jpeg
jpeg	image/jpeg
jut	image/jutvision
nap	image/naplps
naplps	image/naplps
pic	image/pict
pict	image/pict
jfif	image/pjpeg
jpe	image/pjpeg
jpeg	image/pjpeg
jpg	image/pjpeg
png	image/png
x-png	image/png
tif	image/tiff
tiff	image/tiff
mcf	image/vasa
dwg	image/vnd.dwg
dxf	image/vnd.dwg
svf	image/vnd.dwg
fpx	image/vnd.fpx
fpx	image/vnd.net-fpx
rf	image/vnd.rn-realflash
rp	image/vnd.rn-realpix
wbmp	image/vnd.wap.wbmp
xif	image/vnd.xiff
ras	image/x-cmu-raster
dwg	image/x-dwg
dxf	image/x-dwg
svf	image/x-dwg
ico	image/x-icon
art	image/x-jg
jps	image/x-jps
nif	image/x-niff
niff	image/x-niff
pcx	image/x-pcx
pct	image/x-pict
pnm	image/x-portable-anymap
pbm	image/x-portable-bitmap
pgm	image/x-portable-graymap
pgm	image/x-portable-greymap
ppm	image/x-portable-pixmap
qif	image/x-quicktime
qti	image/x-quicktime
qtif	image/x-quicktime
rgb	image/x-rgb
tif	image/x-tiff
tiff	image/x-tiff
bmp	image/x-windows-bmp
xbm	image/x-xbitmap
xbm	image/x-xbm
xpm	image/x-xpixmap
pm	image/x-xpixmap
xwd	image/x-xwd
xwd	image/x-xwindowdump
xbm	image/xbm
xpm	image/xpm
mht	message/rfc822
mime	message/rfc822
mhtml	message/rfc822
iges	model/iges
igs	model/iges
dwf	model/vnd.dwf
vrml	model/vrml
wrl	model/vrml
wrz	model/vrml
pov	model/x-pov
gzip	multipart/x-gzip
ustar	multipart/x-ustar
zip	multipart/x-zip
mid	music/crescendo
midi	music/crescendo
kar	music/x-karaoke
pvu	paleovu/x-pv
asp	text/asp
css	text/css
js	text/ecmascript
htm	text/html
acgi	text/html
html	text/html
htmls	text/html
htx	text/html
shtml	text/html
js	text/javascript
mcf	text/mcf
pas	text/pascal
txt	text/plain
c	text/plain
c++	text/plain
cc	text/plain
com	text/plain
conf	text/plain
cxx	text/plain
def	text/plain
f	text/plain
f90	text/plain
for	text/plain
g	text/plain
h	text/plain
hh	text/plain
idc	text/plain
jav	text/plain
java	text/plain
list	text/plain
log	text/plain
lst	text/plain
m	text/plain
mar	text/plain
pl	text/plain
sdml	text/plain
text	text/plain
rtf	text/richtext
rt	text/richtext
rtx	text/richtext
wsc	text/scriplet
sgml	text/sgml
sgm	text/sgml
tsv	text/tab-separated-values
uni	text/uri-list
uri	text/uri-list
unis	text/uri-list
uris	text/uri-list
abc	text/vnd.abc
flx	text/vnd.fmi.flexstor
rt	text/vnd.rn-realtext
wml	text/vnd.wap.wml
wmls	text/vnd.wap.wmlscript
htt	text/webviewhtml
asm	text/x-asm
s	text/x-asm
aip	text/x-audiosoft-intra
c	text/x-c
cc	text/x-c
cpp	text/x-c
htc	text/x-component
for	text/x-fortran
f	text/x-fortran
f77	text/x-fortran
f90	text/x-fortran
h	text/x-h
hh	text/x-h
java	text/x-java-source
jav	text/x-java-source
lsx	text/x-la-asf
m	text/x-m
p	text/x-pascal
hlb	text/x-script
csh	text/x-script.csh
el	text/x-script.elisp
scm	text/x-script.guile
ksh	text/x-script.ksh
lsp	text/x-script.lisp
pl	text/x-script.perl
pm	text/x-script.perl-module
py	text/x-script.phyton
rexx	text/x-script.rexx
scm	text/x-script.scheme
sh	text/x-script.sh
tcl	text/x-script.tcl
tcsh	text/x-script.tcsh
zsh	text/x-script.zsh
shtml	text/x-server-parsed-html
ssi	text/x-server-parsed-html
etx	text/x-setext
sgml	text/x-sgml
sgm	text/x-sgml
talk	text/x-speech
spc	text/x-speech
uil	text/x-uil
uu	text/x-uuencode
uue	text/x-uuencode
vcs	text/x-vcalendar
xml	text/xml
afl	video/animaflex
avi	video/avi
avs	video/avs-video
dl	video/dl
fli	video/fli
gl	video/gl
mpeg	video/mpeg
m1v	video/mpeg
m2v	video/mpeg
mp2	video/mpeg
mp3	video/mpeg
mpa	video/mpeg
mpe	video/mpeg
mpg	video/mpeg
avi	video/msvideo
mov	video/quicktime
moov	video/quicktime
qt	video/quicktime
vdo	video/vdo
viv	video/vivo
vivo	video/vivo
rv	video/vnd.rn-realvideo
viv	video/vnd.vivo
vivo	video/vnd.vivo
vos	video/vosaic
xdr	video/x-amt-demorun
xsr	video/x-amt-showrun
fmf	video/x-atomic3d-feature
dl	video/x-dl
dif	video/x-dv
dv	video/x-dv
fli	video/x-fli
gl	video/x-gl
isu	video/x-isvideo
mjpg	video/x-motion-jpeg
mp2	video/x-mpeg
mp3	video/x-mpeg
mp2	video/x-mpeq2a
asf	video/x-ms-asf
asx	video/x-ms-asf
asx	video/x-ms-asf-plugin
avi	video/x-msvideo
qtc	video/x-qtc
scm	video/x-scm
mv	video/x-sgi-movie
movie	video/x-sgi-movie
wmf	windows/metafile
mime	www/mime
ice	x-conference/x-cooltalk
mid	x-music/x-midi
midi	x-music/x-midi
3dm	x-world/x-3dmf
3dmf	x-world/x-3dmf
qd3	x-world/x-3dmf
qd3d	x-world/x-3dmf
svr	x-world/x-svr
vrml	x-world/x-vrml
wrl	x-world/x-vrml
wrz	x-world/x-vrml
vrt	x-world/x-vrt
xgz	xgl/drawing
xmz	xgl/movie
